"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"period","4.414036636501972E-5","8.828073273003944E-6","1.0921908172702647E-5","2.207018318250986E-5","period='(-inf-0.202128]'","0.0","period='(0.414894-0.606383]'"
"day","0.00631207239020079","9.017246271715415E-4","3.7091243633179273E-4","0.001059368792760973","day=6","0.0","day=1"
"nswdemand","0.01800926947693665","0.0036018538953873336","0.0028061511677763295","0.007172809534319133","nswdemand='(0.397129-0.481628]'","7.724564113882199E-4","nswdemand='(0.481628-0.559135]'"
"nswprice","0.39430589273890965","0.07886117854778193","0.05460524001080461","0.17792981681747957","nswprice='(-inf-0.03223]'","0.019223129551975277","nswprice='(0.03223-0.043518]'"
"transfer","0.7672919885235049","0.153458397704701","0.11660782766747638","0.3836459942617524","transfer='(0.414693-0.415132]'","0.07914367689251822","transfer='(0.415132-0.551974]'"
"vicprice","0.7690134628117413","0.15380269256234824","0.12598453459427414","0.3845067314058707","vicprice='(0.003466-0.003468]'","0.02037077907746634","vicprice='(0.003067-0.003466]'"
"vicdemand","0.7691017435444715","0.1538203487088943","0.11917322093775065","0.38455087177223574","vicdemand='(0.422877-0.423006]'","0.0722136393732068","vicdemand='(0.335448-0.422877]'"
"date","0.8008386669609358","0.16016773339218726","0.08036295873698497","0.2002207018318252","date='(0.026747-0.442967]'","0.0010593687927609868","date='(0.442967-0.471594]'"
