"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"nswdemand_class","0.020695548729707268","0.00456373542371494","0.006345667011451673","0.01751873485432147","nswdemand='(-inf-0.276331]'_class=UP","1.6316843432467865E-4","nswdemand='(0.559135-inf)'_class=UP"
"day_class","0.03067017327479022","0.004461987344733497","0.002819999946356885","0.00972539872583314","day=1_class=UP","7.744387236719857E-4","day=4_class=DOWN"
"period_class","0.03870281036473331","0.00788975003308091","0.0033246705733233233","0.012536345844426908","period='(0.414894-0.606383]'_class=UP","0.002059213304789781","period='(0.819149-inf)'_class=DOWN"
"nswprice_class","0.4279090535000898","0.08354562603509287","0.06381650087828612","0.24259451520756076","nswprice='(-inf-0.03223]'_class=DOWN","0.010924111541820616","nswprice='(0.043518-0.056848]'_class=UP"
"transfer_class","0.7671667867722993","0.15373426820366962","0.11651531452473272","0.3893204140663905","transfer='(0.414693-0.415132]'_class=UP","0.07462700460559693","transfer='(0.415132-0.551974]'_class=DOWN"
"vicprice_class","0.7689023218268732","0.154124333015513","0.13164314349590242","0.39100719424460434","vicprice='(0.003466-0.003468]'_class=UP","0.019785080834974354","vicprice='(0.003067-0.003466]'_class=UP"
"vicdemand_class","0.7689907411891567","0.15413700274927883","0.12090323234056916","0.3909558067831449","vicdemand='(0.422877-0.423006]'_class=UP","0.05540899551384938","vicdemand='(0.540782-inf)'_class=DOWN"
"date_class","0.8030349373421724","0.1609316915295376","0.07941596225690462","0.2112876078266358","date='(0.889275-inf)'_class=UP","0.002018036687965477","date='(0.442967-0.471594]'_class=DOWN"
