"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period_class","class=UP","0.42454204369896276","0.08534465926101953","0.00243841883602913","0.0025109073645837774","0.011945806283649706","day=1_period='(0.202128-0.414894]'","1.1548934637268041E-4","day=5_period='(0.202128-0.414894]'"
"day_period_class","class=DOWN","0.5754579563010375","0.06486100905953239","0.0018531716874152081","0.0018477117181875124","0.008786906447791587","day=1_period='(0.202128-0.414894]'","3.0911882893183695E-5","day=4_period='(0.202128-0.414894]'"
"period_nswdemand_class","class=UP","0.42454204369896276","0.0946411732385604","0.003785646929542421","0.003295494164093599","0.01315746056636702","period='(0.202128-0.414894]'_nswdemand='(-inf-0.276331]'","1.6210889903688248E-4","period='(0.819149-inf)'_nswdemand='(-inf-0.276331]'"
"period_nswdemand_class","class=DOWN","0.5754579563010375","0.0726242488084421","0.002904969952337685","0.0016999953116149243","0.007993644632204637","period='(0.819149-inf)'_nswdemand='(0.397129-0.481628]'","3.69909943067355E-4","period='(-inf-0.202128]'_nswdemand='(0.559135-inf)'"
"day_nswdemand_class","class=UP","0.42454204369896276","0.19336019507558275","0.005524577002159511","0.006503565031292319","0.027655081909645857","day=1_nswdemand='(0.276331-0.397129]'","1.0443990694252933E-5","day=6_nswdemand='(0.397129-0.481628]'"
"day_nswdemand_class","class=DOWN","0.5754579563010375","0.15298563569785556","0.004371018162795872","0.0038802562190227226","0.013799185735050127","day=1_nswdemand='(-inf-0.276331]'","1.819349803097378E-5","day=4_nswdemand='(0.481628-0.559135]'"
"day_nswprice_class","class=UP","0.42454204369896276","0.3569073375845925","0.010197352502416926","0.006614185432123406","0.031796275582101116","day=1_nswprice='(0.077804-inf)'","3.01967557029487E-4","day=7_nswprice='(0.043518-0.056848]'"
"day_nswprice_class","class=DOWN","0.5754579563010375","0.4851890304151215","0.013862543726146327","0.012163265286744416","0.042201548595012704","day=1_nswprice='(-inf-0.03223]'","3.672738864315603E-4","day=7_nswprice='(0.077804-inf)'"
"period_nswprice_class","class=UP","0.42454204369896276","0.36187807170632114","0.014475122868252845","0.008348138346008798","0.03183449453355473","period='(0.606383-0.819149]'_nswprice='(0.077804-inf)'","7.796666096535777E-4","period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'"
"period_nswprice_class","class=DOWN","0.5754579563010375","0.4930012490377731","0.019720049961510933","0.01843228162684819","0.07647002596192164","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'","9.976915381258097E-4","period='(0.606383-0.819149]'_nswprice='(0.03223-0.043518]'"
"nswprice_nswdemand_class","class=UP","0.42454204369896276","0.3700354338872685","0.014801417355490763","0.008833073401058026","0.03215697166651278","nswprice='(-inf-0.03223]'_nswdemand='(0.276331-0.397129]'","0.002546895788649955","nswprice='(0.043518-0.056848]'_nswdemand='(-inf-0.276331]'"
"nswprice_nswdemand_class","class=DOWN","0.5754579563010375","0.5312213812436627","0.021248855249746512","0.021140602778610622","0.09713821630462811","nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'","0.0020358594905320404","nswprice='(0.077804-inf)'_nswdemand='(0.559135-inf)'"
"period_transfer_class","class=UP","0.42454204369896276","0.7786408281327806","0.03114563312531123","0.02776139778704605","0.10342964004559028","period='(0.606383-0.819149]'_transfer='(0.414693-0.415132]'","0.0044340038173542795","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'"
"period_transfer_class","class=DOWN","0.5754579563010375","0.7587018539039159","0.030348074156156646","0.026433903625862065","0.1195357833655706","period='(-inf-0.202128]'_transfer='(0.414693-0.415132]'","0.0062670598980616886","period='(0.414894-0.606383]'_transfer='(0.415132-0.551974]'"
"nswdemand_transfer_class","class=UP","0.42454204369896276","0.7786408281327811","0.031145633125311253","0.027460219313050684","0.1035336258659809","nswdemand='(0.481628-0.559135]'_transfer='(0.414693-0.415132]'","0.001683147485798443","nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'"
"nswdemand_transfer_class","class=DOWN","0.5754579563010375","0.7587018539039159","0.030348074156156684","0.029762474606697672","0.1262682425931148","nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415132]'","0.0041366966003254175","nswdemand='(0.559135-inf)'_transfer='(0.6875-inf)'"
"day_transfer_class","class=UP","0.42454204369896276","0.7786408281327809","0.02224688080379373","0.018222713384651066","0.06772867420349435","day=1_transfer='(0.414693-0.415132]'","0.002596693947177625","day=1_transfer='(-inf-0.414693]'"
"day_transfer_class","class=DOWN","0.5754579563010375","0.758701853903916","0.02167719582582616","0.0172722573620741","0.05833721607412026","day=2_transfer='(0.414693-0.415132]'","7.178753030472197E-4","day=1_transfer='(-inf-0.414693]'"
"nswprice_transfer_class","class=UP","0.42454204369896276","0.7788512215685056","0.031154048862740213","0.0478561579205553","0.23090376846429442","nswprice='(0.077804-inf)'_transfer='(0.414693-0.415132]'","1.0519671786240269E-4","nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415132]'"
"nswprice_transfer_class","class=DOWN","0.5754579563010375","0.758701853903916","0.03034807415615666","0.04156713471400631","0.16444940176077402","nswprice='(0.043518-0.056848]'_transfer='(0.414693-0.415132]'","4.461584696632099E-5","nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415132]'"
"day_vicprice_class","class=UP","0.42454204369896276","0.7820143884892087","0.02234326824254883","0.018959094170685073","0.06772867420349435","day=1_vicprice='(0.003466-0.003468]'","8.803224619967397E-4","day=6_vicprice='(0.003067-0.003466]'"
"day_vicprice_class","class=DOWN","0.5754579563010375","0.7592289416659204","0.021692255476169136","0.01935153902334359","0.05833655705996132","day=2_vicprice='(0.003466-0.003468]'","8.921874901166266E-4","day=2_vicprice='(0.003067-0.003466]'"
