"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"nswdemand_class","0.02619409899364896","0.013096307408130295","0.011603549677842271","0.0342969752270432","nswdemand='(-inf-0.276331]'_class=UP","0.0016828840725965077","nswdemand='(0.276331-0.397129]'_class=UP"
"day_class","0.030652582587376853","0.015346708336409984","0.010272240062477452","0.034670398009950254","day=1_class=UP","0.0039051068188469262","day=5_class=DOWN"
"period_class","0.040937377938068994","0.02031734699507031","0.006251436728422319","0.030720338983050877","period='(0.606383-0.819149]'_class=UP","0.011607672991281737","period='(0.819149-inf)'_class=DOWN"
"nswprice_class","0.1498912482888499","0.07500130140936467","0.04307077898236569","0.1321126425785053","nswprice='(0.03223-0.043518]'_class=DOWN","0.011238200394765016","nswprice='(0.077804-inf)'_class=DOWN"
"transfer_class","0.15887127044462826","0.05929261783445873","0.045474433464442215","0.14623670950222786","transfer='(0.414693-0.415132]'_class=DOWN","0.015296565205279528","transfer='(0.415132-0.551974]'_class=UP"
"vicdemand_class","0.22408570467951866","0.07001415456353992","0.09257002825351589","0.28168044077134985","vicdemand='(0.422877-0.423006]'_class=DOWN","5.940898976168063E-4","vicdemand='(0.540782-inf)'_class=DOWN"
"vicprice_class","0.22613395116627105","0.07625112592369403","0.0728754746238479","0.21834825528007346","vicprice='(0.003466-0.003468]'_class=UP","0.015113748282528594","vicprice='(0.003067-0.003466]'_class=DOWN"
"date_class","0.40142175971773886","0.20076521089958937","0.10417449568337275","0.2994378306878307","date='(0.471594-0.889275]'_class=DOWN","0.0038260544979469846","date='(0.442967-0.471594]'_class=UP"
