"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"nswdemand_class","0.023924078569852122","0.0023924078569852146","0.0023377563126997613","0.007746634297064667","nswdemand='(-inf-0.276331]'_class=UP","4.193334804678886E-4","nswdemand='(0.481628-0.559135]'_class=UP"
"day_class","0.030986537188258674","0.002213324084875618","0.0015427889182603983","0.004921650849702051","day=1_class=UP","1.324210990951251E-4","day=5_class=UP"
"period_class","0.040918119620392844","0.0040918119620392875","0.0013620588603389565","0.00640035312293092","period='(0.606383-0.819149]'_class=UP","0.0021628779518870003","period='(0.819149-inf)'_class=DOWN"
"nswprice_class","0.4272787464135953","0.04272787464135953","0.03772391574490985","0.14098433016994041","nswprice='(-inf-0.03223]'_class=DOWN","0.004060913705583757","nswprice='(0.043518-0.056848]'_class=UP"
"transfer_class","0.7672919885235049","0.0767291988523505","0.05959369149533442","0.21642021628779518","transfer='(0.414693-0.415132]'_class=DOWN","0.03548885455749283","transfer='(0.415132-0.551974]'_class=UP"
"vicprice_class","0.7690134628117412","0.07690134628117418","0.06762906829244522","0.21657470757007283","vicprice='(0.003466-0.003468]'_class=DOWN","0.008232178327080116","vicprice='(0.003067-0.003466]'_class=UP"
"vicdemand_class","0.7691017435444715","0.07691017435444718","0.06226873099527988","0.21664091811962038","vicdemand='(0.422877-0.423006]'_class=DOWN","0.029640256014124917","vicdemand='(0.335448-0.422877]'_class=UP"
"date_class","0.8011035091591261","0.08011035091591255","0.041993423441642946","0.11990730523063342","date='(0.471594-0.889275]'_class=DOWN","1.3242109909512162E-4","date='(0.442967-0.471594]'_class=DOWN"
