"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"period","0.0","0.0","0.0","0.0","period='(0.819149-inf)'","0.0","period='(0.819149-inf)'"
"day","0.00631207239020079","9.017246271715415E-4","3.709124363317927E-4","0.001059368792760973","day=6","0.0","day=1"
"nswdemand","0.01796512911057162","0.0035930258221143247","0.0028128031050112298","0.007172809534319133","nswdemand='(0.397129-0.481628]'","7.503862282056961E-4","nswdemand='(0.481628-0.559135]'"
"nswprice","0.39426175237254474","0.07885235047450895","0.05461154208451181","0.17792981681747957","nswprice='(-inf-0.03223]'","0.019201059368792753","nswprice='(0.03223-0.043518]'"
"transfer","0.7672919885235049","0.153458397704701","0.11660775435351634","0.3836459942617524","transfer='(0.414693-0.415132]'","0.07914367689251822","transfer='(0.415132-0.551974]'"
"vicprice","0.7690134628117413","0.1538026925623483","0.12598558243392552","0.3845067314058707","vicprice='(0.003466-0.003468]'","0.02037077907746634","vicprice='(0.003067-0.003466]'"
"vicdemand","0.7691017435444715","0.15382034870889438","0.11917250357821332","0.38455087177223574","vicdemand='(0.422877-0.423006]'","0.07223570955638932","vicdemand='(0.335448-0.422877]'"
"date","0.8008386669609358","0.16016773339218715","0.08037406103097702","0.2002207018318252","date='(0.026747-0.442967]'","0.001037298609578463","date='(0.442967-0.471594]'"
