"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"nswdemand_class","0.026232068820045557","0.013115344031703079","0.011586858264318553","0.0342969752270432","nswdemand='(-inf-0.276331]'_class=UP","0.0017275269163785911","nswdemand='(0.276331-0.397129]'_class=UP"
"day_class","0.030660637968852537","0.015350698784872541","0.01026642693257174","0.034670398009950254","day=1_class=UP","0.003997309651558312","day=5_class=DOWN"
"period_class","0.040918119620392844","0.0203091256885556","0.00624629515876899","0.030720338983050877","period='(0.606383-0.819149]'_class=UP","0.011652542372881325","period='(0.819149-inf)'_class=DOWN"
"nswprice_class","0.14984150059601023","0.07497696320194394","0.04304541188455921","0.1320528391070523","nswprice='(0.03223-0.043518]'_class=DOWN","0.011238200394765016","nswprice='(0.077804-inf)'_class=DOWN"
"transfer_class","0.15886805723193168","0.059291336363034956","0.04547513622993423","0.14623670950222786","transfer='(0.414693-0.415132]'_class=DOWN","0.015296565205279528","transfer='(0.415132-0.551974]'_class=UP"
"vicdemand_class","0.22406090346889923","0.06999571667908353","0.09257771223667402","0.28168044077134985","vicdemand='(0.422877-0.423006]'_class=DOWN","5.940898976168063E-4","vicdemand='(0.540782-inf)'_class=DOWN"
"vicprice_class","0.22613351176661062","0.07625235138775995","0.07287334551339097","0.21834825528007346","vicprice='(0.003466-0.003468]'_class=UP","0.015113748282528594","vicprice='(0.003067-0.003466]'_class=DOWN"
"date_class","0.4014065286028815","0.2007521751846165","0.10420069968929038","0.2994378306878307","date='(0.471594-0.889275]'_class=DOWN","0.0037608759230825517","date='(0.442967-0.471594]'_class=UP"
