"attribute_subset","conditioned_value","probability_of_condition","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period_class","class=UP","0.4245199735157802","0.08530069909654302","0.002437162831329798","0.0025121878103563835","0.01194497622012107","day=1_period='(0.202128-0.414894]'","1.136687403665397E-4","day=5_period='(0.202128-0.414894]'"
"day_period_class","class=DOWN","0.5754800264842198","0.06490457524030858","0.001854416435437389","0.001846772417374579","0.008785402769708245","day=1_period='(0.202128-0.414894]'","2.9859308234844034E-5","day=4_period='(0.202128-0.414894]'"
"period_nswdemand_class","class=UP","0.4245199735157802","0.09470122556797876","0.0037880490227191533","0.0032950000116070024","0.013157001264547842","period='(0.202128-0.414894]'_nswdemand='(-inf-0.276331]'","1.6238005312290337E-4","period='(0.819149-inf)'_nswdemand='(-inf-0.276331]'"
"period_nswdemand_class","class=DOWN","0.5754800264842198","0.07257253384912961","0.002902901353965182","0.0016999782596512924","0.007990527391870325","period='(0.819149-inf)'_nswdemand='(0.397129-0.481628]'","3.700053687918747E-4","period='(-inf-0.202128]'_nswdemand='(0.559135-inf)'"
"day_nswdemand_class","class=UP","0.4245199735157802","0.193328442378734","0.005523669782249551","0.0065047885193158655","0.02765934843618304","day=1_nswdemand='(0.276331-0.397129]'","9.082686507290785E-6","day=6_nswdemand='(0.397129-0.481628]'"
"day_nswdemand_class","class=DOWN","0.5754800264842198","0.15301630494737847","0.004371894427067959","0.0038821214843512896","0.013796250671098988","day=1_nswdemand='(-inf-0.276331]'","1.6915371660132517E-5","day=4_nswdemand='(0.481628-0.559135]'"
"day_nswprice_class","class=UP","0.4245199735157802","0.3568517786657427","0.01019576510473549","0.006614007818384872","0.03179480913653386","day=1_nswprice='(0.077804-inf)'","3.009991495794128E-4","day=7_nswprice='(0.043518-0.056848]'"
"day_nswprice_class","class=DOWN","0.5754800264842198","0.48514933331372134","0.013861409523249182","0.012161673258783081","0.0421979686844989","day=1_nswprice='(-inf-0.03223]'","3.673577454015929E-4","day=7_nswprice='(0.077804-inf)'"
"period_nswprice_class","class=UP","0.4245199735157802","0.36182644175483997","0.014473057670193617","0.008349528858830009","0.03182968016508864","period='(0.606383-0.819149]'_nswprice='(0.077804-inf)'","7.790025588306692E-4","period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'"
"period_nswprice_class","class=DOWN","0.5754800264842198","0.49295746887203895","0.01971829875488152","0.018430187800708455","0.07646336351133698","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'","9.991836494546644E-4","period='(0.606383-0.819149]'_nswprice='(0.03223-0.043518]'"
"nswprice_nswdemand_class","class=UP","0.4245199735157802","0.3699820995386753","0.01479928398154699","0.008833121175659358","0.03216044133206247","nswprice='(-inf-0.03223]'_nswdemand='(0.276331-0.397129]'","0.0025465582294816437","nswprice='(0.043518-0.056848]'_nswdemand='(-inf-0.276331]'"
"nswprice_nswdemand_class","class=DOWN","0.5754800264842198","0.531170470173787","0.021246818806951475","0.021138469247354345","0.09712990269984041","nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'","0.002035286936184922","nswprice='(0.077804-inf)'_nswdemand='(0.559135-inf)'"
"period_transfer_class","class=UP","0.4245199735157802","0.7786404407698008","0.031145617630792034","0.027761862982406998","0.10342957917426485","period='(0.606383-0.819149]'_transfer='(0.414693-0.415132]'","0.004434540591769464","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'"
"period_transfer_class","class=DOWN","0.5754800264842198","0.7587019290878202","0.03034807716351282","0.02643368313106413","0.1195357833655706","period='(-inf-0.202128]'_transfer='(0.414693-0.415132]'","0.006266042023666812","period='(0.414894-0.606383]'_transfer='(0.415132-0.551974]'"
"nswdemand_transfer_class","class=UP","0.4245199735157802","0.7786404407698011","0.031145617630792054","0.027460690723518335","0.10353357052841232","nswdemand='(0.481628-0.559135]'_transfer='(0.414693-0.415132]'","0.0016833245660178853","nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'"
