"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"nswdemand_class","0.023924078569852122","0.002392407856985214","0.0023371879913127312","0.007746634297064667","nswdemand='(-inf-0.276331]'_class=UP","4.414036636504054E-4","nswdemand='(0.481628-0.559135]'_class=UP"
"day_class","0.030986537188258674","0.00221332408487562","0.0015427662042530647","0.004921650849702051","day=1_class=UP","1.5449128227764536E-4","day=5_class=UP"
"period_class","0.04091811962039284","0.004091811962039287","0.0013596002944388863","0.00640035312293092","period='(0.606383-0.819149]'_class=UP","0.002184948135069517","period='(0.819149-inf)'_class=DOWN"
"nswprice_class","0.4272346060472302","0.042723460604723006","0.03772318640282215","0.14098433016994041","nswprice='(-inf-0.03223]'_class=DOWN","0.004060913705583757","nswprice='(0.043518-0.056848]'_class=UP"
"transfer_class","0.7672919885235049","0.07672919885235048","0.0595940415541135","0.21642021628779518","transfer='(0.414693-0.415132]'_class=DOWN","0.03548885455749283","transfer='(0.415132-0.551974]'_class=UP"
"vicprice_class","0.7690134628117412","0.07690134628117418","0.06762894024929346","0.21657470757007283","vicprice='(0.003466-0.003468]'_class=DOWN","0.008232178327080116","vicprice='(0.003067-0.003466]'_class=UP"
"vicdemand_class","0.7691017435444715","0.07691017435444718","0.06226850106272935","0.21664091811962038","vicdemand='(0.422877-0.423006]'_class=DOWN","0.029640256014124917","vicdemand='(0.335448-0.422877]'_class=UP"
"date_class","0.8011035091591261","0.08011035091591255","0.04199922618980862","0.11990730523063342","date='(0.471594-0.889275]'_class=DOWN","1.3242109909512162E-4","date='(0.442967-0.471594]'_class=DOWN"
