"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"nswdemand_class","0.020649914797251617","0.004554470997564286","0.006351391022428083","0.01751636640638643","nswdemand='(-inf-0.276331]'_class=UP","1.4794506920950967E-4","nswdemand='(0.559135-inf)'_class=UP"
"day_class","0.03062580840818694","0.004455685020461175","0.002826960869012513","0.0097174743860131","day=1_class=UP","7.688404145001493E-4","day=4_class=DOWN"
"period_class","0.03869242443478561","0.007886208166346529","0.003319274170480212","0.012550191304084565","period='(0.414894-0.606383]'_class=UP","0.0020896367607798755","period='(0.819149-inf)'_class=DOWN"
"nswprice_class","0.4278676724750752","0.08353658851042273","0.06380843986924757","0.24257466665686062","nswprice='(-inf-0.03223]'_class=DOWN","0.010930823988888852","nswprice='(0.043518-0.056848]'_class=UP"
"transfer_class","0.7671662255389987","0.15373423698576213","0.11651487908411745","0.3893202203849005","transfer='(0.414693-0.415132]'_class=UP","0.07461870545925234","transfer='(0.415132-0.551974]'_class=DOWN"
"vicprice_class","0.7689018256043241","0.1541243341721883","0.1316424714564968","0.39100719424460434","vicprice='(0.003466-0.003468]'_class=UP","0.019787903050971712","vicprice='(0.003067-0.003466]'_class=UP"
"vicdemand_class","0.7689902456429277","0.1541370027492787","0.12090115993529564","0.3909558067831449","vicdemand='(0.422877-0.423006]'_class=UP","0.05540276970824662","vicdemand='(0.540782-inf)'_class=DOWN"
"date_class","0.8030434819608094","0.16093325882477066","0.079424954925675","0.21130983692793268","date='(0.889275-inf)'_class=UP","0.0020258731641305816","date='(0.442967-0.471594]'_class=DOWN"
