"points","day_period_nswprice_nswdemand_vicprice_vicdemand_transfer"
"336","0.7440476190476173"
"384","0.6517857142857129"
"432","0.550595238095237"
"480","0.49404761904761807"
"528","0.47619047619047533"
"576","0.4345238095238087"
"624","0.40476190476190416"
"672","0.4285714285714279"
"720","0.5029761904761895"
"768","0.5714285714285704"
"816","0.5476190476190466"
"864","0.5684523809523799"
"912","0.6190476190476181"
"960","0.6577380952380941"
"1008","0.7142857142857129"
"1056","0.6845238095238081"
"1104","0.6190476190476181"
"1152","0.6041666666666656"
"1200","0.5714285714285705"
"1248","0.517857142857142"
"1296","0.49999999999999906"
"1344","0.48511904761904673"
"1392","0.523809523809523"
"1440","0.607142857142856"
"1488","0.690476190476189"
"1536","0.7559523809523794"
"1584","0.7827380952380935"
"1632","0.7827380952380937"
"1680","0.7708333333333317"
"1728","0.7202380952380937"
"1776","0.7113095238095224"
"1824","0.7172619047619032"
"1872","0.7202380952380937"
"1920","0.7172619047619031"
"1968","0.7321428571428557"
"2016","0.7559523809523793"
"2064","0.7351190476190461"
"2112","0.7321428571428555"
"2160","0.7142857142857129"
"2208","0.7023809523809509"
"2256","0.7053571428571412"
"2304","0.6755952380952367"
"2352","0.6369047619047604"
"2400","0.6607142857142843"
"2448","0.6011904761904747"
"2496","0.5476190476190465"
"2544","0.49999999999999895"
"2592","0.5595238095238083"
"2640","0.6011904761904748"
"2688","0.5833333333333321"
"2736","0.583333333333332"
"2784","0.5952380952380941"
"2832","0.6101190476190462"
"2880","0.6517857142857129"
"2928","0.651785714285713"
"2976","0.6488095238095224"
"3024","0.6547619047619033"
"3072","0.6607142857142841"
"3120","0.6428571428571414"
"3168","0.6636904761904746"
"3216","0.6934523809523794"
"3264","0.6874999999999983"
"3312","0.6874999999999984"
"3360","0.7083333333333318"
"3408","0.7619047619047604"
"3456","0.8482142857142839"
"3504","0.830357142857141"
"3552","0.8124999999999982"
"3600","0.7499999999999984"
"3648","0.69642857142857"
"3696","0.6755952380952367"
"3744","0.651785714285713"
"3792","0.5773809523809512"
"3840","0.5654761904761892"
"3888","0.5535714285714274"
"3936","0.5803571428571416"
"3984","0.5982142857142845"
"4032","0.6160714285714273"
"4080","0.5773809523809511"
"4128","0.5982142857142844"
"4176","0.6309523809523796"
"4224","0.6547619047619033"
"4272","0.6845238095238081"
"4320","0.7440476190476173"
"4368","0.7499999999999982"
"4416","0.7738095238095222"
"4464","0.7946428571428552"
"4512","0.818452380952379"
"4560","0.8333333333333313"
"4608","0.8303571428571408"
"4656","0.7857142857142838"
"4704","0.8065476190476173"
"4752","0.8154761904761887"
"4800","0.8244047619047599"
"4848","0.8363095238095218"
"4896","0.8244047619047599"
"4944","0.7738095238095222"
"4992","0.7499999999999982"
"5040","0.7499999999999982"
"5088","0.7380952380952363"
"5136","0.7410714285714268"
"5184","0.7380952380952364"
"5232","0.7202380952380937"
"5280","0.7589285714285695"
"5328","0.8124999999999979"
"5376","0.7916666666666649"
"5424","0.7797619047619028"
"5472","0.7976190476190458"
"5520","0.8035714285714266"
"5568","0.8244047619047598"
"5616","0.8333333333333313"
"5664","0.8035714285714265"
"5712","0.7767857142857124"
"5760","0.7857142857142839"
"5808","0.7291666666666649"
"5856","0.6488095238095223"
"5904","0.5714285714285703"
"5952","0.517857142857142"
"6000","0.4940476190476183"
"6048","0.48809523809523725"
"6096","0.48809523809523736"
"6144","0.5476190476190466"
"6192","0.6249999999999988"
"6240","0.6815476190476176"
"6288","0.7083333333333318"
"6336","0.6815476190476174"
"6384","0.6934523809523794"
"6432","0.6696428571428557"
"6480","0.5714285714285703"
"6528","0.517857142857142"
"6576","0.4791666666666658"
"6624","0.4583333333333325"
"6672","0.4732142857142849"
"6720","0.5029761904761896"
