"points","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"336","0.15476190476190474","0.17261904761904762","0.6220238095238095","0.16964285714285715","0.035714285714285754","0.035714285714285754","0.035714285714285754"
"384","0.1339285714285714","0.12202380952380948","0.5029761904761906","0.14880952380952384","0.014880952380952411","0.014880952380952411","0.014880952380952411"
"432","0.14285714285714282","0.0952380952380952","0.35416666666666663","0.14583333333333331","0.023809523809523836","0.023809523809523836","0.023809523809523836"
"480","0.1220238095238095","0.09226190476190474","0.15178571428571425","0.11309523809523808","0.044642857142857095","0.044642857142857095","0.044642857142857095"
"528","0.10714285714285712","0.08333333333333334","0.12499999999999999","0.09821428571428571","0.059523809523809534","0.059523809523809534","0.059523809523809534"
"576","0.15773809523809523","0.1101190476190476","0.18452380952380953","0.13690476190476192","0.11011904761904764","0.11011904761904764","0.11011904761904764"
"624","0.13392857142857145","0.08630952380952378","0.13690476190476197","0.10119047619047622","0.06845238095238099","0.06845238095238099","0.06845238095238099"
"672","0.13690476190476192","0.07142857142857142","0.08035714285714285","0.11607142857142856","0.05357142857142852","0.05357142857142852","0.05357142857142852"
"720","0.22023809523809523","0.08333333333333334","0.12797619047619047","0.13690476190476192","0.029761904761904767","0.029761904761904767","0.029761904761904767"
"768","0.2559523809523809","0.17261904761904762","0.24404761904761904","0.22023809523809523","0.14880952380952384","0.14880952380952384","0.14880952380952384"
"816","0.24107142857142855","0.17559523809523808","0.19642857142857142","0.2410714285714286","0.1220238095238095","0.1220238095238095","0.1220238095238095"
"864","0.2886904761904761","0.25892857142857145","0.23809523809523808","0.30357142857142866","0.16964285714285712","0.16964285714285712","0.16964285714285712"
"912","0.27083333333333326","0.29464285714285715","0.32440476190476186","0.31845238095238093","0.2589285714285714","0.2589285714285714","0.2589285714285714"
"960","0.2738095238095237","0.2976190476190476","0.449404761904762","0.380952380952381","0.261904761904762","0.261904761904762","0.261904761904762"
"1008","0.32142857142857134","0.34523809523809523","0.613095238095238","0.4255952380952382","0.30952380952380953","0.30952380952380953","0.30952380952380953"
"1056","0.25595238095238093","0.27976190476190477","0.5476190476190476","0.31845238095238093","0.20833333333333334","0.20833333333333334","0.20833333333333334"
"1104","0.18749999999999997","0.21130952380952384","0.45833333333333337","0.2232142857142857","0.13988095238095236","0.13988095238095236","0.13988095238095236"
"1152","0.20238095238095236","0.16666666666666669","0.4583333333333333","0.19047619047619047","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"1200","0.15178571428571427","0.11607142857142858","0.4255952380952381","0.125","0.11607142857142858","0.11607142857142858","0.11607142857142858"
"1248","0.13988095238095238","0.05654761904761907","0.3035714285714286","0.08928571428571427","0.056547619047619055","0.056547619047619055","0.056547619047619055"
"1296","0.13095238095238093","0.1011904761904762","0.21428571428571425","0.09226190476190474","0.041666666666666644","0.041666666666666644","0.041666666666666644"
"1344","0.13988095238095236","0.11607142857142858","0.14583333333333331","0.11011904761904762","0.08035714285714289","0.08035714285714289","0.08035714285714289"
"1392","0.16666666666666663","0.19047619047619047","0.19940476190476186","0.1428571428571429","0.10714285714285712","0.10714285714285712","0.10714285714285712"
"1440","0.22619047619047616","0.27976190476190477","0.33333333333333337","0.24404761904761907","0.18452380952380953","0.18452380952380953","0.18452380952380953"
"1488","0.2232142857142857","0.2767857142857143","0.47023809523809523","0.2589285714285714","0.2232142857142857","0.2232142857142857","0.2232142857142857"
"1536","0.22619047619047616","0.2678571428571429","0.5982142857142857","0.26190476190476186","0.22023809523809523","0.22023809523809523","0.22023809523809523"
"1584","0.22619047619047616","0.23809523809523814","0.6607142857142857","0.29464285714285715","0.17261904761904756","0.17261904761904756","0.17261904761904756"
"1632","0.23511904761904762","0.28869047619047616","0.7113095238095237","0.2648809523809524","0.15773809523809523","0.15773809523809523","0.15773809523809523"
"1680","0.18154761904761907","0.2708333333333333","0.6517857142857143","0.2886904761904762","0.08035714285714282","0.08035714285714282","0.08035714285714282"
"1728","0.15476190476190477","0.1785714285714286","0.6101190476190477","0.20238095238095238","0.017857142857142877","0.017857142857142877","0.017857142857142877"
"1776","0.15773809523809523","0.18154761904761907","0.49404761904761907","0.1607142857142857","0.12202380952380953","0.12202380952380953","0.12202380952380953"
"1824","0.15476190476190477","0.17261904761904762","0.4553571428571429","0.20833333333333331","0.125","0.125","0.125"
"1872","0.1607142857142857","0.18452380952380956","0.3988095238095238","0.2261904761904762","0.11309523809523811","0.11309523809523811","0.11309523809523811"
"1920","0.20238095238095238","0.14285714285714288","0.40773809523809523","0.2142857142857143","0.023809523809523808","0.023809523809523808","0.023809523809523808"
"1968","0.23214285714285715","0.1607142857142857","0.5595238095238095","0.2202380952380952","0.029761904761904767","0.029761904761904767","0.029761904761904767"
"2016","0.26785714285714285","0.21428571428571425","0.6547619047619048","0.2976190476190476","0.005952380952380931","0.005952380952380931","0.005952380952380931"
"2064","0.3214285714285714","0.25","0.7738095238095237","0.23809523809523808","0.08333333333333334","0.08333333333333334","0.08333333333333334"
"2112","0.2827380952380952","0.27083333333333337","0.5416666666666667","0.21428571428571427","0.1875","0.1875","0.1875"
"2160","0.2708333333333333","0.1875","0.32738095238095233","0.1755952380952381","0.16964285714285718","0.16964285714285718","0.16964285714285718"
"2208","0.2827380952380952","0.18154761904761907","0.3660714285714286","0.18154761904761907","0.18154761904761904","0.18154761904761904","0.18154761904761904"
"2256","0.24702380952380953","0.11011904761904764","0.2976190476190476","0.1279761904761905","0.08630952380952381","0.08630952380952381","0.08630952380952381"
"2304","0.2261904761904762","0.02976190476190476","0.38095238095238093","0.11011904761904763","0.023809523809523808","0.023809523809523808","0.023809523809523808"
