"points","day_period_nswprice_nswdemand_vicprice_vicdemand_transfer"
"336","0.40252976190476103"
"384","0.36716446995464774"
"432","0.3435675311791377"
"480","0.3223869756235822"
"528","0.32065086451247116"
"576","0.3232302295918362"
"624","0.3268264597505664"
"672","0.3573324121315188"
"720","0.37732071995464794"
"768","0.38678075396825345"
"816","0.38117559523809474"
"864","0.3692708333333327"
"912","0.3715029761904756"
"960","0.3641865079365073"
"1008","0.3746031746031739"
"1056","0.34608134920634853"
"1104","0.29995039682539637"
"1152","0.27911706349206306"
"1200","0.2627480158730155"
"1248","0.2202380952380949"
"1296","0.19047619047619016"
"1344","0.18303571428571402"
"1392","0.2127976190476188"
"1440","0.28199404761904723"
"1488","0.3370535714285708"
"1536","0.3995535714285706"
"1584","0.4397321428571419"
"1632","0.46081349206349104"
"1680","0.45496031746031645"
"1728","0.46426091269841185"
"1776","0.45012400793650714"
"1824","0.44268353174603087"
"1872","0.43673115079364994"
"1920","0.46426091269841185"
"1968","0.49278273809523726"
"2016","0.509052579365079"
"2064","0.5213293650793647"
"2112","0.5153769841269837"
"2160","0.5280257936507933"
"2208","0.5215773809523806"
"2256","0.506944444444444"
"2304","0.4669642857142848"
"2352","0.4443452380952373"
"2400","0.4485119047619039"
"2448","0.45965136054421685"
"2496","0.424135487528344"
"2544","0.3941255668934235"
"2592","0.3946215986394552"
"2640","0.40806405895691544"
"2688","0.4007723922902488"
"2736","0.3528557256235822"
"2784","0.3430520124716548"
"2832","0.35847859977324203"
"2880","0.37224348072562297"
"2928","0.3648030045351468"
"2976","0.3655470521541944"
"3024","0.3627196712018135"
"3072","0.376129062736205"
"3120","0.37692625661375606"
"3168","0.37345403439153385"
"3216","0.38424272486772426"
"3264","0.37977843915343856"
"3312","0.38647486772486717"
"3360","0.3954034391534386"
"3408","0.4093749999999993"
"3456","0.4139384920634913"
"3504","0.39062499999999933"
"3552","0.3757440476190471"
"3600","0.34300595238095194"
"3648","0.3072916666666663"
"3696","0.29687499999999967"
"3744","0.2760416666666663"
"3792","0.24330357142857106"
"3840","0.233630952380952"
"3888","0.23809523809523772"
"3936","0.2663690476190472"
"3984","0.27901785714285665"
"4032","0.3180272108843532"
"4080","0.30686649659863896"
"4128","0.31058673469387704"
"4176","0.3440688775510198"
"4224","0.36713435374149594"
"4272","0.3797831632653054"
"4320","0.41252125850340055"
"4368","0.4132121598639448"
"4416","0.43032525510203995"
"4464","0.4399978741496589"
"4512","0.4399978741496589"
"4560","0.43776573129251606"
"4608","0.4295812074829923"
"4656","0.4303996598639447"
"4704","0.41450892857142785"
"4752","0.4430803571428563"
"4800","0.4609374999999991"
"4848","0.472842261904761"
"4896","0.46391369047618947"
"4944","0.43638392857142777"
"4992","0.41845238095238013"
"5040","0.4266369047619039"
"5088","0.420386904761904"
"5136","0.420386904761904"
"5184","0.4181547619047612"
"5232","0.4301587301587294"
"5280","0.4636408730158722"
"5328","0.481498015873015"
"5376","0.49935515873015773"
"5424","0.5067956349206341"
"5472","0.517212301587301"
"5520","0.5179563492063487"
"5568","0.5141369047619041"
"5616","0.5133928571428564"
